epoch,accuracy,f1_score,learning_rate,loss,val_accuracy,val_f1_score,val_loss
19,0.8534455299377441,0.8540310859680176,9.999999747378752e-06,0.47021666169166565,0.9342637658119202,0.9335671663284302,0.23601065576076508
20,0.9225828051567078,0.922667384147644,9.999999747378752e-06,0.22578193247318268,0.9448321461677551,0.9439816474914551,0.21852697432041168
21,0.9379006624221802,0.9382770657539368,9.999999747378752e-06,0.178354412317276,0.9492819309234619,0.9490792155265808,0.20488029718399048
22,0.9456196427345276,0.9457307457923889,9.999999747378752e-06,0.15391260385513306,0.9491302371025085,0.9490348696708679,0.21018251776695251
23,0.9532184600830078,0.9533814787864685,9.999999747378752e-06,0.13100123405456543,0.9547936916351318,0.954769492149353,0.19129115343093872
24,0.9580795764923096,0.9582176208496094,9.999999747378752e-06,0.11518207937479019,0.9585356116294861,0.9587793350219727,0.17714367806911469
25,0.9618856906890869,0.9618125557899475,9.999999747378752e-06,0.10788948833942413,0.958080530166626,0.9577078819274902,0.1898738592863083
26,0.9648504257202148,0.9649990200996399,9.999999747378752e-06,0.09635006636381149,0.9599009156227112,0.9603062868118286,0.18231132626533508
27,0.9672943353652954,0.9675040245056152,9.999999747378752e-06,0.08991874754428864,0.9584850072860718,0.9584785103797913,0.1902746707201004
28,0.9686298370361328,0.968886137008667,9.999999747378752e-06,0.08425336331129074,0.9604065418243408,0.9605327844619751,0.19269785284996033
29,0.9713007211685181,0.9711340069770813,9.999999747378752e-06,0.07776712626218796,0.9620752334594727,0.9622807502746582,0.1885102540254593
